"#","Player","FG","FGA","FT","FTA","PTS","ORB","DRB","AST","STL","BLK","TO","PF","Value"
"18","Ja Morant                             (MEM - PG)                              (Out)","7.9","17.0","4.6","6.1","21.5",".9","3.3","7.8","1.0",".3","3.2","1.6","$57"
"19","Anthony Davis                             (LAL - PF)","8.6","17.0","5.6","7.0","23.6","1.9","6.8","2.9","1.3","1.9","2.2","2.2","$55"
"20","Domantas Sabonis                             (IND - PF)","8.0","15.3","3.7","5.1","20.4","3.0","9.4","6.1","1.1",".5","3.0","3.8","$53"
"21","Jaylen Brown                             (BOS - SF,SG)                              (Day To Day)","9.4","19.9","3.6","5.2","25.2","1.2","4.9","3.4","1.2",".5","2.6","3.1","$51"
"22","LeBron James                             (LAL - SF,PF,PG)","9.2","17.6","4.2","6.0","24.3","1.1","6.5","7.9","1.1",".6","3.4","1.6","$49"
"23","Paul George                             (LAC - SF,SG)                              (Out)","8.5","19.2","5.1","5.9","25.3","1.0","6.1","4.9","1.3",".4","3.1","2.7","$47"
"24","Devin Booker                             (PHX - SG,PG)","8.9","19.6","5.7","6.5","25.7",".5","3.7","5.1",".8",".2","3.4","3.1","$44"
"25","Michael Porter                             (DEN - SF,PF)","7.7","14.5","2.0","2.5","20.2","1.7","5.8","1.2",".7",".9","1.4","2.5","$42"
"26","Brandon Ingram                             (NO - SF,PF)                              (Day To Day)","8.5","18.5","4.7","6.2","23.5",".8","4.4","4.6",".7",".6","2.5","2.6","$40"
"27","Donovan Mitchell                             (UTAH - SG,PG)","9.1","20.8","4.3","5.2","25.4",".8","3.6","4.8","1.0",".3","2.6","2.6","$38"
"28","Christian Wood                             (HOU - PF,C)","7.8","14.7","4.1","5.8","21.2","2.2","6.9","1.7",".8","1.2","2.0","2.3","$36"
"29","Jimmy Butler                             (MIA - SF,SG)                              (Out)","6.7","14.5","6.4","7.5","20.7","1.7","4.5","5.9","1.8",".4","2.2","1.5","$34"
"30","Deandre Ayton                             (PHX - C)","6.7","11.4","1.8","2.4","15.3","3.4","7.3","1.5",".6","1.2","1.6","2.9","$32"
"31","Anthony Edwards                             (MIN - SG,SF)","7.4","17.7","3.1","4.0","20.4",".9","4.1","4.1","1.3",".5","2.5","1.8","$29"
"32","Julius Randle                             (NY - PF)","7.9","16.3","4.6","6.2","21.3","2.1","7.6","4.4",".8",".3","3.0","3.7","$27"
"33","Zach LaVine                             (CHI - SG)","9.0","19.4","4.3","5.2","25.0",".6","4.4","4.6",".8",".5","3.3","2.4","$25"
"34","Nikola Vucevic                             (CHI - C)","8.6","17.6","1.9","2.5","20.3","2.5","8.8","3.2",".9",".8","1.9","2.4","$23"
"35","Rudy Gobert                             (UTAH - C)","5.2","7.9","3.6","5.7","15.3","3.5","9.0","1.2",".7","2.3","1.6","2.7","$21"
"36","Collin Sexton                             (CLE - SG,PG)                              (Out)","8.3","18.1","4.0","4.8","22.3",".8","2.1","3.9","1.0",".1","2.5","2.4","$19"
"37","Fred VanVleet                             (TOR - PG,SG)","6.9","17.1","3.1","3.7","20.2",".5","3.7","6.8","1.7",".5","2.1","2.5","$17"
"38","John Collins                             (ATL - PF)","7.0","12.3","2.8","3.6","17.7","2.5","5.6","1.3",".6","1.0","1.4","3.3","$16"
"39","Clint Capela                             (ATL - C)                              (Day To Day)","6.3","10.0","1.9","3.6","16.0","4.3","8.7",".9",".6","1.9","1.3","2.8","$15"
